City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,codrington,-38.2667,141.9667,285.23,84,62,4.94,AU,1694714130
83,pangody,65.85,74.4859,286.05,69,73,4.26,RU,1694714130
84,colares,38.7992,-9.4469,299.47,73,20,6.69,PT,1694713865
85,el alto,-4.2714,-81.2147,298.96,65,26,10.2,PE,1694713538
86,port augusta,-32.5,137.7667,285.83,67,51,2.03,AU,1694714130
87,corner brook,48.9667,-57.9484,295.24,83,99,3.92,CA,1694714130
88,zhigalovo,54.8097,105.1578,279.14,83,11,0.67,RU,1694714130
89,qaqortoq,60.7167,-46.0333,277.98,85,100,3.79,GL,1694713559
90,kon tum,14.35,108.0,294.87,99,100,0.57,VN,1694714131
91,thunder bay,48.4001,-89.3168,291.14,55,40,5.14,CA,1694713878
92,ribeira grande,38.5167,-28.7,297.47,88,40,5.66,PT,1694714131
93,udachny,66.4167,112.4,282.29,93,100,4.02,RU,1694713540
94,longyearbyen,78.2186,15.6401,276.06,75,40,8.75,SJ,1694714131
95,kristiansund,63.1115,7.732,286.51,67,75,4.12,NO,1694713561
96,fale old settlement,-9.3852,-171.2468,300.91,77,7,3.99,TK,1694713540
97,beloyarskiy,63.7119,66.6722,284.82,78,24,1.79,RU,1694713870
98,jiwani,25.05,61.7417,299.79,84,11,3.43,PK,1694714132
99,doka,13.5167,35.7667,299.76,71,33,3.3,SD,1694714132
100,timbuktu,16.7735,-3.0074,303.35,53,90,8.34,ML,1694714132
101,brisas de zicatela,15.8369,-97.0419,304.44,55,40,2.06,MX,1694714132
102,shiguai,40.7058,110.2856,290.67,64,100,2.42,CN,1694714132
103,port lincoln,-34.7333,135.8667,285.22,88,16,2.92,AU,1694714133
104,seven pagodas,12.6264,80.1722,302.18,84,94,9.45,IN,1694714133
105,kilindoni,-7.9139,39.6668,298.67,76,12,7.94,TZ,1694714133
106,tolanaro,-25.0319,46.9987,294.19,88,75,6.17,MG,1694714133
107,kodiak,57.79,-152.4072,278.88,87,100,1.54,US,1694714024
108,adamstown,-25.066,-130.1015,291.29,54,78,9.27,PN,1694714133
109,ta`u,-14.2336,-169.5144,299.72,79,22,7.81,AS,1694714134
110,la'ie,21.6477,-157.9253,299.13,84,57,5.81,US,1694713559
111,weyburn,49.6668,-103.8511,291.27,55,9,7.2,CA,1694714134
112,daru,-9.0763,143.2092,296.92,74,97,8.18,PG,1694714134
113,mukalla,14.5425,49.1242,304.24,71,12,2.42,YE,1694714104
114,constantia,44.1833,28.65,295.76,59,72,7.17,RO,1694713534
115,thompson,55.7435,-97.8558,291.24,72,75,1.03,CA,1694714134
116,tiksi,71.6872,128.8694,274.72,99,100,1.97,RU,1694714134
117,tamanrasset,22.785,5.5228,306.1,15,40,2.57,DZ,1694714135
118,ornskoldsvik,63.2909,18.7153,282.68,71,0,2.06,SE,1694714135
119,shakawe,-18.3667,21.85,297.23,19,0,2.66,BW,1694714135
120,kinwat,19.6333,78.2,297.31,93,100,3.32,IN,1694714135
121,lorengau,-2.0226,147.2712,299.95,83,99,4.48,PG,1694713583
122,leninskiy,54.2781,37.4558,287.74,51,40,2.73,RU,1694714135
123,arawa,-6.2132,155.5367,297.19,94,100,1.91,PG,1694714135
124,selkirk,50.1436,-96.8845,289.23,42,90,4.54,CA,1694714136
125,palikir - national government center,6.9248,158.1611,298.62,94,75,1.54,FM,1694713577
126,crane,31.3974,-102.3501,303.61,34,0,3.87,US,1694714136
127,afaahiti,-17.75,-149.2833,295.08,87,100,8.69,PF,1694713555
128,talnakh,69.4865,88.3972,284.38,96,100,8.71,RU,1694714136
129,fortaleza,-3.7227,-38.5247,304.22,55,0,8.75,BR,1694714136
130,bonawon,9.134,122.9193,299.52,85,98,2.22,PH,1694714136
131,rongelap,11.1635,166.8941,301.63,77,52,5.75,MH,1694713543
132,villa emilio carranza,19.9667,-96.6,304.97,60,33,5.73,MX,1694714137
133,bamboo flat,11.7,92.7167,300.2,89,100,3.09,IN,1694714137
134,tapes,-30.6733,-51.3958,287.79,69,89,5.04,BR,1694714137
135,salinopolis,-0.6136,-47.3561,301.99,72,34,6.07,BR,1694714137
136,camocim,-2.9022,-40.8411,303.59,59,10,7.89,BR,1694714137
137,hobyo,5.3505,48.5268,298.88,81,95,10.73,SO,1694713857
138,swidnik,51.219,22.6962,292.09,74,0,3.58,PL,1694714138
139,andalgala,-27.5819,-66.3165,296.44,14,1,2.98,AR,1694714138
140,san patricio,28.017,-97.5169,309.75,39,32,4.04,US,1694714138
141,mata-utu,-13.2816,-176.1745,300.54,77,39,8.87,WF,1694714138
142,nagqu,31.5,92.0,273.38,83,16,1.67,CN,1694714138
143,cabo san lucas,22.8909,-109.9124,309.05,60,0,0.0,MX,1694713485
144,nemuro,43.3236,145.575,288.31,96,100,8.67,JP,1694714139
145,vilyuchinsk,52.9306,158.4028,285.3,83,100,2.78,RU,1694713542
146,mikun',62.3547,50.0771,284.23,88,12,2.39,RU,1694714139
147,talara,-4.5772,-81.2719,300.57,54,0,9.37,PE,1694714139
148,saguenay,48.4168,-71.0657,292.61,73,75,4.63,CA,1694714139
